Tissue,Disease,Species,symbol,ID,Platform,Type,Expression,Target,Pathway,Method,Drug,Function,PMID,Title,Year
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CDKN1A,1026,Gene,mRNA,up-regulation,NA,NA,ELISA; Immunofluorescence; RT-PCR etc.,no,Immunofluorescence showed that there were significantly increased expression of senescence key protein (P21) in AECs and the increased p21 were accompanied by up-regulated CF (as indicated by FUT8 and LCA levels).,34329195,Regulation of the IGF1 signaling pathway is involved in idiopathic pulmonary fibrosis induced by alveolar epithelial cell senescence and core fucosylation,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CDKN2A,1029,Gene,mRNA,up-regulation,NA,NA,ELISA; immunofluorescence; RT-PCR etc.,no,"Western blotting also showed that the levels of senescence key protein (P21, P16) and FUT8 were upregulated in IPF lung tissue.",34329195,Regulation of the IGF1 signaling pathway is involved in idiopathic pulmonary fibrosis induced by alveolar epithelial cell senescence and core fucosylation,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,FUT8,2530,Gene,mRNA,up-regulation,NA,NA,ELISA; immunofluorescence; RT-PCR etc.,no,"Western blotting also showed that the levels of senescence key protein (P21, P16) and FUT8 were upregulated in IPF lung tissue.",34329195,Regulation of the IGF1 signaling pathway is involved in idiopathic pulmonary fibrosis induced by alveolar epithelial cell senescence and core fucosylation,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CFL1,1072,Gene,mRNA,up-regulation,NA,NA,qRT-PCR; Western Blot etc.,no,"Compared with that of healthy controls, the expression of CFL-1 was significantly increased in the plasma and peripheral blood mononuclear cells (PBMCs) from idiopathic pulmonary fibrosis (IPF) and connective tissue disease-associated interstitial lung disease (CTD-ILD) patients (P < 0.05).",34090209,Cofilin-1 promotes fibrocyte differentiation and contributes to pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SIRT2,22933,Gene,mRNA,up-regulation,Smad2; Smad3,Smad2/3 pathway,RT-PCR; Western Blot; Immunofluorescence etc.,no,Sirt2 expression was upregulated in transforming growth factor-beta1 (TGF-beta1) treated human embryonic lung fibroblasts.,34925016,Inhibition of Sirt2 Alleviates Fibroblasts Activation and Pulmonary Fibrosis?via?Smad2/3 Pathway,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MDM4,4194,Gene,mRNA,up-regulation,TP53,Mdm4-p53 pathway,qRT-PCR; ELISA; Flow Cytometry etc.,no,"In this study, we found that mouse double minute 4 homolog (MDM4) is highly expressed in the fibrotic lesions of human IPF and experimental pulmonary fibrosis in aged mice.",33688918,Targeting mechanosensitive MDM4 promotes lung fibrosis resolution in aged mice,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SIRT3,23410,Gene,mRNA,down-regulation,NA,NA,PCR; Western Blot etc.,no,"We showed that sirtuin 3 (SIRT3), a mitochondrial protein regulating cell fate and aging, is deficient in the AECs of idiopathic pulmonary fibrosis (IPF) patients and that asbestos- and bleomycin-induced lung fibrosis is augmented in Sirt3 knockout (Sirt3-/-) mice associated with AEC mtDNA damage and intrinsic apoptosis.",34202229,"SIRT3 Overexpression Ameliorates Asbestos-Induced Pulmonary Fibrosis, mt-DNA Damage, and Lung Fibrogenic Monocyte Recruitment",2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IL22,50616,Gene,mRNA,down-regulation,NA,TGF-BETA SIGNALING PATHWAY,qRT-PCR; Enzyme-linked Immunosorbent Assay; Western Blot etc.,no,The expression of IL-22 was lower in the peripheral blood of IPF patients and correlated negatively with the disease severity.,34459137,Protective function of interleukin-22 in pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MYRF,745,Gene,mRNA,down-regulation,NA,NA,co-expression gene pair analysis; functional enrichment analysis etc.,no,"A total of 343 DEGs and 21 DEMs were identified between IPF and normal samples. CLDN18, COL6A3, MYRF, PRSS8, RRAS, and SBNO1 were identified as potential IPF biomarkers. In addition, 17 miRNA-target relationship pairs were obtained. The up-regulation of hsa-miR-657, hsa-miR-671-5p, hsa-miR-198, and hsa-miR-940 could regulate the down-regulation of MYRF and the up-regulation of hsa-miR-198 and hsa-miR-373-3p could regulate the down-regulation of RRAS and CLDN18, respectively. Our data indicated that PRSS8, hsa-miR-614, and hsa-miR-503-5p might be involved in the migration and invasion of IPF related cells.",34666057,Screening of Biomarkers Involved in Idiopathic Pulmonary Fibrosis and Regulation of Upstream miRNAs,2022
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CLDN18,51208,Gene,mRNA,down-regulation,NA,NA,co-expression gene pair analysis; functional enrichment analysis etc.,no,"A total of 343 DEGs and 21 DEMs were identified between IPF and normal samples. CLDN18, COL6A3, MYRF, PRSS8, RRAS, and SBNO1 were identified as potential IPF biomarkers. In addition, 17 miRNA-target relationship pairs were obtained. The up-regulation of hsa-miR-657, hsa-miR-671-5p, hsa-miR-198, and hsa-miR-940 could regulate the down-regulation of MYRF and the up-regulation of hsa-miR-198 and hsa-miR-373-3p could regulate the down-regulation of RRAS and CLDN18, respectively. Our data indicated that PRSS8, hsa-miR-614, and hsa-miR-503-5p might be involved in the migration and invasion of IPF related cells.",34666057,Screening of Biomarkers Involved in Idiopathic Pulmonary Fibrosis and Regulation of Upstream miRNAs,2022
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,COL6A3,1293,Gene,mRNA,dysregulation,NA,NA,co-expression gene pair analysis; functional enrichment analysis etc.,no,"A total of 343 DEGs and 21 DEMs were identified between IPF and normal samples. CLDN18, COL6A3, MYRF, PRSS8, RRAS, and SBNO1 were identified as potential IPF biomarkers. In addition, 17 miRNA-target relationship pairs were obtained. The up-regulation of hsa-miR-657, hsa-miR-671-5p, hsa-miR-198, and hsa-miR-940 could regulate the down-regulation of MYRF and the up-regulation of hsa-miR-198 and hsa-miR-373-3p could regulate the down-regulation of RRAS and CLDN18, respectively. Our data indicated that PRSS8, hsa-miR-614, and hsa-miR-503-5p might be involved in the migration and invasion of IPF related cells.",34666057,Screening of Biomarkers Involved in Idiopathic Pulmonary Fibrosis and Regulation of Upstream miRNAs,2022
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PRSS8,5652,Gene,mRNA,dysregulation,NA,NA,co-expression gene pair analysis; functional enrichment analysis etc.,no,"A total of 343 DEGs and 21 DEMs were identified between IPF and normal samples. CLDN18, COL6A3, MYRF, PRSS8, RRAS, and SBNO1 were identified as potential IPF biomarkers. In addition, 17 miRNA-target relationship pairs were obtained. The up-regulation of hsa-miR-657, hsa-miR-671-5p, hsa-miR-198, and hsa-miR-940 could regulate the down-regulation of MYRF and the up-regulation of hsa-miR-198 and hsa-miR-373-3p could regulate the down-regulation of RRAS and CLDN18, respectively. Our data indicated that PRSS8, hsa-miR-614, and hsa-miR-503-5p might be involved in the migration and invasion of IPF related cells.",34666057,Screening of Biomarkers Involved in Idiopathic Pulmonary Fibrosis and Regulation of Upstream miRNAs,2022
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,RRAS,6237,Gene,mRNA,dysregulation,NA,NA,co-expression gene pair analysis; functional enrichment analysis etc.,no,"A total of 343 DEGs and 21 DEMs were identified between IPF and normal samples. CLDN18, COL6A3, MYRF, PRSS8, RRAS, and SBNO1 were identified as potential IPF biomarkers. In addition, 17 miRNA-target relationship pairs were obtained. The up-regulation of hsa-miR-657, hsa-miR-671-5p, hsa-miR-198, and hsa-miR-940 could regulate the down-regulation of MYRF and the up-regulation of hsa-miR-198 and hsa-miR-373-3p could regulate the down-regulation of RRAS and CLDN18, respectively. Our data indicated that PRSS8, hsa-miR-614, and hsa-miR-503-5p might be involved in the migration and invasion of IPF related cells.",34666057,Screening of Biomarkers Involved in Idiopathic Pulmonary Fibrosis and Regulation of Upstream miRNAs,2022
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SBNO1,55206,Gene,mRNA,dysregulation,NA,NA,co-expression gene pair analysis; functional enrichment analysis etc.,no,"A total of 343 DEGs and 21 DEMs were identified between IPF and normal samples. CLDN18, COL6A3, MYRF, PRSS8, RRAS, and SBNO1 were identified as potential IPF biomarkers. In addition, 17 miRNA-target relationship pairs were obtained. The up-regulation of hsa-miR-657, hsa-miR-671-5p, hsa-miR-198, and hsa-miR-940 could regulate the down-regulation of MYRF and the up-regulation of hsa-miR-198 and hsa-miR-373-3p could regulate the down-regulation of RRAS and CLDN18, respectively. Our data indicated that PRSS8, hsa-miR-614, and hsa-miR-503-5p might be involved in the migration and invasion of IPF related cells.",34666057,Screening of Biomarkers Involved in Idiopathic Pulmonary Fibrosis and Regulation of Upstream miRNAs,2022
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP1,4312,Gene,mRNA,up-regulation,NA,MAPK PATHWAY,GO and pathway enrichment analysis etc.,no,"MMP1, SPP1, and BPIFB1 were the top three DEGs with the highest significant up-regulation. These DEGs played an important role in the occurrence of IPF through the MAPK (mitogen-activated protein kinase) signaling pathway.",34734011,Bioinformatic analysis of differentially expressed genes and pathways in idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SPP1,6696,Gene,mRNA,up-regulation,NA,MAPK PATHWAY,GO and pathway enrichment analysis etc.,no,"MMP1, SPP1, and BPIFB1 were the top three DEGs with the highest significant up-regulation. These DEGs played an important role in the occurrence of IPF through the MAPK (mitogen-activated protein kinase) signaling pathway.",34734011,Bioinformatic analysis of differentially expressed genes and pathways in idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,BPIFB1,92747,Gene,mRNA,up-regulation,NA,MAPK PATHWAY,GO and pathway enrichment analysis etc.,no,"MMP1, SPP1, and BPIFB1 were the top three DEGs with the highest significant up-regulation. These DEGs played an important role in the occurrence of IPF through the MAPK (mitogen-activated protein kinase) signaling pathway.",34734011,Bioinformatic analysis of differentially expressed genes and pathways in idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,GABARAPL1,23710,Gene,mRNA,down-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"By combining the PPI network, miRNA-target network, and functional enrichment analysis, we identified potential biomarkers including GABARAPL1, SGTA, ARRB1, GPX8, and VCAM1 for IPF. Among them, GABARAPL1, SGTA, and ARRB1 exhibited lower expression levels in IPF while GPX8 and VCAM1 were both downregulated in IPF.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,GPX8,493869,Gene,mRNA,up-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"In the network, there were 227 nodes, including 122 upregulated and 105 downregulated genes. Nodes with degree >= 7 were considered hub genes, including GABARAPL1, GPX8, SGTA, VCAM1, ARRB1, SPP1, and HLA-B.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SGTA,6449,Gene,mRNA,down-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"By combining the PPI network, miRNA-target network, and functional enrichment analysis, we identified potential biomarkers including GABARAPL1, SGTA, ARRB1, GPX8, and VCAM1 for IPF. Among them, GABARAPL1, SGTA, and ARRB1 exhibited lower expression levels in IPF while GPX8 and VCAM1 were both downregulated in IPF.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,VCAM1,7412,Gene,mRNA,up-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"In the network, there were 227 nodes, including 122 upregulated and 105 downregulated genes. Nodes with degree >= 7 were considered hub genes, including GABARAPL1, GPX8, SGTA, VCAM1, ARRB1, SPP1, and HLA-B.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ARRB1,408,Gene,mRNA,down-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"By combining the PPI network, miRNA-target network, and functional enrichment analysis, we identified potential biomarkers including GABARAPL1, SGTA, ARRB1, GPX8, and VCAM1 for IPF. Among them, GABARAPL1, SGTA, and ARRB1 exhibited lower expression levels in IPF while GPX8 and VCAM1 were both downregulated in IPF.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SPP1,6696,Gene,mRNA,up-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"In the network, there were 227 nodes, including 122 upregulated and 105 downregulated genes. Nodes with degree >= 7 were considered hub genes, including GABARAPL1, GPX8, SGTA, VCAM1, ARRB1, SPP1, and HLA-B.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,HLA-B,3106,Gene,mRNA,down-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,"In the network, there were 227 nodes, including 122 upregulated and 105 downregulated genes. Nodes with degree >= 7 were considered hub genes, including GABARAPL1, GPX8, SGTA, VCAM1, ARRB1, SPP1, and HLA-B.",34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,LDLR,3949,Gene,mRNA,up-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,We found that LDLR and RAB11FIP1 were regulated by most miRNAs. Both were upregulated in IPF_S compared to N_CTL.,34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,RAB11FIP1,80223,Gene,mRNA,up-regulation,NA,NA,Differentially Expressed Analysis; Western Blot etc.,no,We found that LDLR and RAB11FIP1 were regulated by most miRNAs. Both were upregulated in IPF_S compared to N_CTL.,34285914,Identification and Validation of Potential Biomarkers and Pathways for Idiopathic Pulmonary Fibrosis by Comprehensive Bioinformatics Analysis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP7,4316,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Some genes that were up-regulated in fibrosis samples, such as MMP7, TNF, and PLAU, were genes involved in the tissue repair process.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TNF,7124,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Some genes that were up-regulated in fibrosis samples, such as MMP7, TNF, and PLAU, were genes involved in the tissue repair process.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PLAU,5328,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Some genes that were up-regulated in fibrosis samples, such as MMP7, TNF, and PLAU, were genes involved in the tissue repair process.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TGFBI,7045,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"TGFBI, a gene that is known to participate in the EMT process, is up-regulated in fibrosis.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,MMP11,4320,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Genes involved in coagulation, such as MMP7 and MMP11, as well as genes involved in EMT, such as COL3A1, COL1A1, and ADAM12 were also up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,COL3A1,1281,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Genes involved in coagulation, such as MMP7 and MMP11, as well as genes involved in EMT, such as COL3A1, COL1A1, and ADAM12 were also up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,COL1A1,1277,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Genes involved in coagulation, such as MMP7 and MMP11, as well as genes involved in EMT, such as COL3A1, COL1A1, and ADAM12 were also up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,ADAM12,8038,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Genes involved in coagulation, such as MMP7 and MMP11, as well as genes involved in EMT, such as COL3A1, COL1A1, and ADAM12 were also up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CD28,940,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"CD28 and CD86 were up-regulated, and CD274 (encoding the co-inhibitory receptor PD-L1) were down-regulated in both minimal and established fibrosis.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CD86,942,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"CD28 and CD86 were up-regulated, and CD274 (encoding the co-inhibitory receptor PD-L1) were down-regulated in both minimal and established fibrosis.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CD274,29126,Gene,mRNA,down-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"CD28 and CD86 were up-regulated, and CD274 (encoding the co-inhibitory receptor PD-L1) were down-regulated in both minimal and established fibrosis.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TLR4,7099,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"In our IPF samples, TLRs that could recognize both bacteria (TLR4 and TLR6) and viruses (TLR7 and TLR8) were significantly up-regulated. Of the remainder of the TLRs, only TLR2 was down-regulated, and almost all other TLRs were up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TLR6,10333,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"In our IPF samples, TLRs that could recognize both bacteria (TLR4 and TLR6) and viruses (TLR7 and TLR8) were significantly up-regulated. Of the remainder of the TLRs, only TLR2 was down-regulated, and almost all other TLRs were up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TLR7,51284,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"In our IPF samples, TLRs that could recognize both bacteria (TLR4 and TLR6) and viruses (TLR7 and TLR8) were significantly up-regulated. Of the remainder of the TLRs, only TLR2 was down-regulated, and almost all other TLRs were up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TLR8,51311,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"In our IPF samples, TLRs that could recognize both bacteria (TLR4 and TLR6) and viruses (TLR7 and TLR8) were significantly up-regulated. Of the remainder of the TLRs, only TLR2 was down-regulated, and almost all other TLRs were up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TLR2,7097,Gene,mRNA,down-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"In our IPF samples, TLRs that could recognize both bacteria (TLR4 and TLR6) and viruses (TLR7 and TLR8) were significantly up-regulated. Of the remainder of the TLRs, only TLR2 was down-regulated, and almost all other TLRs were up-regulated.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,NFKB1,4790,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Their downstream targets, including components of the NFKB pathway, such as NFKB1, TRAF3, PKD1, and CYLD, were also up-regulated in the IPF samples.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TRAF3,7187,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Their downstream targets, including components of the NFKB pathway, such as NFKB1, TRAF3, PKD1, and CYLD, were also up-regulated in the IPF samples.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PKD1,5310,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Their downstream targets, including components of the NFKB pathway, such as NFKB1, TRAF3, PKD1, and CYLD, were also up-regulated in the IPF samples.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CYLD,1540,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Their downstream targets, including components of the NFKB pathway, such as NFKB1, TRAF3, PKD1, and CYLD, were also up-regulated in the IPF samples.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TGFB1,7040,Gene,mRNA,up-regulation,TGFBR1,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Important transforming growth factors, namely TGFB1, TGFB2, and TGFB3 and their receptor TGFBR1, were all up-regulated starting from the minimal fibrosis .",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TGFB2,7042,Gene,mRNA,up-regulation,TGFBR1,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Important transforming growth factors, namely TGFB1, TGFB2, and TGFB3 and their receptor TGFBR1, were all up-regulated starting from the minimal fibrosis .",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TGFB3,7043,Gene,mRNA,up-regulation,TGFBR1,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Important transforming growth factors, namely TGFB1, TGFB2, and TGFB3 and their receptor TGFBR1, were all up-regulated starting from the minimal fibrosis .",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,TGFBR1,7046,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Important transforming growth factors, namely TGFB1, TGFB2, and TGFB3 and their receptor TGFBR1, were all up-regulated starting from the minimal fibrosis .",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,CASP1,834,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Additionally, CASP1, NLRC4, which participate in the activation of a cytokine storm, were all up-regulated in minimal fibrosis, while another cytokine storm trigger, IL18, was up-regulated in both minimal and established fibrosis regions.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,NLRC4,58484,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Additionally, CASP1, NLRC4, which participate in the activation of a cytokine storm, were all up-regulated in minimal fibrosis, while another cytokine storm trigger, IL18, was up-regulated in both minimal and established fibrosis regions.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IL18,3606,Gene,mRNA,up-regulation,NA,NA,Histological Analyses; Pre-operative MDCT Analyses etc.,no,"Additionally, CASP1, NLRC4, which participate in the activation of a cytokine storm, were all up-regulated in minimal fibrosis, while another cytokine storm trigger, IL18, was up-regulated in both minimal and established fibrosis regions.",33862585,The transition from normal lung anatomy to minimal and established fibrosis in idiopathic pulmonary fibrosis (IPF),2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,IGF1,3479,Gene,mRNA,up-regulation,NA,NA,GO and KEGG enrichment analysis; GSVA; Hub gene analysis etc.,no,"The 20 hub genes comprised 11 upregulated (IGF1, SPP1, PROM1, SOX2, MMP1, COL1A1, MMP7, POSTN, COL3A1, COMP, LCN2) and nine downregulated (IL6, VEGFA, CDH5, WNT3A, ICAM1, EDN1, CSF3, CAV1, HBEGF) genes.",34522168,Integrated analysis of the molecular mechanisms in idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SPP1,6696,Gene,mRNA,up-regulation,NA,NA,GO and KEGG enrichment analysis; GSVA; Hub gene analysis etc.,no,"The 20 hub genes comprised 11 upregulated (IGF1, SPP1, PROM1, SOX2, MMP1, COL1A1, MMP7, POSTN, COL3A1, COMP, LCN2) and nine downregulated (IL6, VEGFA, CDH5, WNT3A, ICAM1, EDN1, CSF3, CAV1, HBEGF) genes.",34522168,Integrated analysis of the molecular mechanisms in idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,PROM1,8842,Gene,mRNA,up-regulation,NA,NA,GO and KEGG enrichment analysis; GSVA; Hub gene analysis etc.,no,"The 20 hub genes comprised 11 upregulated (IGF1, SPP1, PROM1, SOX2, MMP1, COL1A1, MMP7, POSTN, COL3A1, COMP, LCN2) and nine downregulated (IL6, VEGFA, CDH5, WNT3A, ICAM1, EDN1, CSF3, CAV1, HBEGF) genes.",34522168,Integrated analysis of the molecular mechanisms in idiopathic pulmonary fibrosis,2021
lung,idiopathic_pulmonary_fibrosis,homo_sapiens,SOX2,6657,Gene,mRNA,up-regulation,NA,NA,GO and KEGG enrichment analysis; GSVA; Hub gene analysis etc.,no,"The 20 hub genes comprised 11 upregulated (IGF1, SPP1, PROM1, SOX2, MMP1, COL1A1, MMP7, POSTN, COL3A1, COMP, LCN2) and nine downregulated (IL6, VEGFA, CDH5, WNT3A, ICAM1, EDN1, CSF3, CAV1, HBEGF) genes.",34522168,Integrated analysis of the molecular mechanisms in idiopathic pulmonary fibrosis,2021
